wordID,generatedBy,wordGroup,timeToSuccess,itKnowledge,gamePoints,attempts,rating,guessedNumeric,guessed,Name
a15-container,gpt,simple,,10,5,3,1,0,FALSE,-N_nlDn5TscmKpjnvNaK
h18-pencil,human,simple,9.39,10,5,1,5,1,TRUE,-N_nlDn5TscmKpjnvNaK
a4-imagination,gpt,abstract,,4,1,0,1,0,FALSE,-N_nT7GU36GwC7TxDNk_
h6-freedom,human,abstract,15.58,4,1,1,4,1,TRUE,-N_nT7GU36GwC7TxDNk_
a33-shock,gpt,emotion,,4,1,0,1,0,FALSE,-N_nT7GU36GwC7TxDNk_
h35-fear,human,emotion,,4,1,2,3,0,FALSE,-N_nT7GU36GwC7TxDNk_
a29-cache,gpt,IT,,4,1,0,1,0,FALSE,-N_nT7GU36GwC7TxDNk_
h30-compiler,human,IT,,4,1,2,3,0,FALSE,-N_nT7GU36GwC7TxDNk_
a13-nature,gpt,simple,,4,1,0,1,0,FALSE,-N_nT7GU36GwC7TxDNk_
h15-container,human,simple,,4,1,1,3,0,FALSE,-N_nT7GU36GwC7TxDNk_
a4-imagination,gpt,abstract,,3,3,1,3,0,FALSE,-N_wtBW5H466yAOZrrt7
h1-love,human,abstract,5.12,3,3,1,4,1,TRUE,-N_wtBW5H466yAOZrrt7
h2-truth,human,abstract,9.701,3,3,1,4,1,TRUE,-N_wtBW5H466yAOZrrt7
a37-jealous,gpt,emotion,,3,3,4,2,0,FALSE,-N_wtBW5H466yAOZrrt7
a21-server,gpt,IT,,3,3,4,1,0,FALSE,-N_wtBW5H466yAOZrrt7
h25-decryption,human,IT,,3,3,3,1,0,FALSE,-N_wtBW5H466yAOZrrt7
a14-portrait,gpt,simple,,3,3,2,1,0,FALSE,-N_wtBW5H466yAOZrrt7
h18-pencil,human,simple,7.879,3,3,2,4,1,TRUE,-N_wtBW5H466yAOZrrt7
a7-reason,gpt,abstract,,5,3,0,1,0,FALSE,-Na6wZ3qJi7z1eEZddcc
h2-truth,human,abstract,19.945,5,3,1,5,1,TRUE,-Na6wZ3qJi7z1eEZddcc
a31-sad,gpt,emotion,,5,3,1,2,0,FALSE,-Na6wZ3qJi7z1eEZddcc
h38-joy,human,emotion,26.072,5,3,1,5,1,TRUE,-Na6wZ3qJi7z1eEZddcc
a24-array,gpt,IT,,5,3,0,1,0,FALSE,-Na6wZ3qJi7z1eEZddcc
h25-decryption,human,IT,,5,3,0,2,0,FALSE,-Na6wZ3qJi7z1eEZddcc
a14-portrait,gpt,simple,,5,3,0,1,0,FALSE,-Na6wZ3qJi7z1eEZddcc
h18-pencil,human,simple,25.659,5,3,1,5,1,TRUE,-Na6wZ3qJi7z1eEZddcc
a9-empathy,gpt,abstract,,1,1,1,1,0,FALSE,-Na8AJm8QdHn1YiTVuTt
h2-truth,human,abstract,19.948,1,1,2,5,1,TRUE,-Na8AJm8QdHn1YiTVuTt
a32-excited,gpt,emotion,,1,1,0,1,0,FALSE,-Na8AJm8QdHn1YiTVuTt
h40-satisfied,human,emotion,,1,1,4,2,0,FALSE,-Na8AJm8QdHn1YiTVuTt
a30-compiler,gpt,IT,,1,1,0,1,0,FALSE,-Na8AJm8QdHn1YiTVuTt
h28-database,human,IT,,1,1,1,1,0,FALSE,-Na8AJm8QdHn1YiTVuTt
a15-container,gpt,simple,,1,1,0,1,0,FALSE,-Na8AJm8QdHn1YiTVuTt
h19-spoon,human,simple,,1,1,2,1,0,FALSE,-Na8AJm8QdHn1YiTVuTt
a1-love,gpt,abstract,7.726,6,6,1,2,1,TRUE,-NabBowY8J8RBwbrxc2J
a3-prejudice,gpt,abstract,14.017,6,6,1,3,1,TRUE,-NabBowY8J8RBwbrxc2J
h5-happiness,human,abstract,7.585,6,6,1,5,1,TRUE,-NabBowY8J8RBwbrxc2J
h36-angry,human,emotion,3.987,6,6,1,5,1,TRUE,-NabBowY8J8RBwbrxc2J
a26-firewall,gpt,IT,,6,6,0,1,0,FALSE,-NabBowY8J8RBwbrxc2J
h22-download,human,IT,4.298,6,6,1,5,1,TRUE,-NabBowY8J8RBwbrxc2J
a13-nature,gpt,simple,,6,6,0,1,0,FALSE,-NabBowY8J8RBwbrxc2J
h19-spoon,human,simple,4.848,6,6,1,5,1,TRUE,-NabBowY8J8RBwbrxc2J
a3-prejudice,gpt,abstract,,2,5,0,1,0,FALSE,-NaChBBDMQBPtZ0xgsOv
h9-empathy,human,abstract,9.555,2,5,1,3,1,TRUE,-NaChBBDMQBPtZ0xgsOv
a37-jealous,gpt,emotion,13.276,2,5,2,3,1,TRUE,-NaChBBDMQBPtZ0xgsOv
h34-relaxed,human,emotion,5.393,2,5,1,4,1,TRUE,-NaChBBDMQBPtZ0xgsOv
a25-decryption,gpt,IT,,2,5,0,1,0,FALSE,-NaChBBDMQBPtZ0xgsOv
h24-array,human,IT,10.242,2,5,2,2,1,TRUE,-NaChBBDMQBPtZ0xgsOv
a17-lamp,gpt,simple,,2,5,1,1,0,FALSE,-NaChBBDMQBPtZ0xgsOv
h11-bag,human,simple,9.255,2,5,2,2,1,TRUE,-NaChBBDMQBPtZ0xgsOv
a3-prejudice,gpt,abstract,,2,2,1,1,0,FALSE,-NaClW4bvQB4opAJQtaD
h9-empathy,human,abstract,10.29,2,2,1,5,1,TRUE,-NaClW4bvQB4opAJQtaD
a36-angry,gpt,emotion,,2,2,2,1,0,FALSE,-NaClW4bvQB4opAJQtaD
h34-relaxed,human,emotion,,2,2,3,1,0,FALSE,-NaClW4bvQB4opAJQtaD
a26-firewall,gpt,IT,,2,2,3,1,0,FALSE,-NaClW4bvQB4opAJQtaD
h25-decryption,human,IT,,2,2,3,1,0,FALSE,-NaClW4bvQB4opAJQtaD
a15-container,gpt,simple,,2,2,3,1,0,FALSE,-NaClW4bvQB4opAJQtaD
h17-lamp,human,simple,16.356,2,2,1,5,1,TRUE,-NaClW4bvQB4opAJQtaD
a4-imagination,gpt,abstract,14.399,10,5,2,5,1,TRUE,-NaCsXE0UjIZ6Xh7q93o
h8-forgiveness,human,abstract,21.383,10,5,2,5,1,TRUE,-NaCsXE0UjIZ6Xh7q93o
a33-shock,gpt,emotion,,10,5,1,3,0,FALSE,-NaCsXE0UjIZ6Xh7q93o
h37-jealous,human,emotion,9.579,10,5,2,5,1,TRUE,-NaCsXE0UjIZ6Xh7q93o
a25-decryption,gpt,IT,,10,5,4,1,0,FALSE,-NaCsXE0UjIZ6Xh7q93o
h22-download,human,IT,,10,5,3,1,0,FALSE,-NaCsXE0UjIZ6Xh7q93o
a16-chair,gpt,simple,12.715,10,5,2,3,1,TRUE,-NaCsXE0UjIZ6Xh7q93o
h17-lamp,human,simple,9.482,10,5,1,5,1,TRUE,-NaCsXE0UjIZ6Xh7q93o
a4-imagination,gpt,abstract,14.806,3,5,1,3,1,TRUE,-NaCtpzaZ8GsV7T5D24n
h5-happiness,human,abstract,,3,5,2,1,0,FALSE,-NaCtpzaZ8GsV7T5D24n
a33-shock,gpt,emotion,,3,5,1,1,0,FALSE,-NaCtpzaZ8GsV7T5D24n
h36-angry,human,emotion,7.125,3,5,2,4,1,TRUE,-NaCtpzaZ8GsV7T5D24n
a26-firewall,gpt,IT,,3,5,0,1,0,FALSE,-NaCtpzaZ8GsV7T5D24n
h23-hardware,human,IT,3.381,3,5,1,5,1,TRUE,-NaCtpzaZ8GsV7T5D24n
a11-bag,gpt,simple,26.939,3,5,1,1,1,TRUE,-NaCtpzaZ8GsV7T5D24n
h13-nature,human,simple,3.364,3,5,1,5,1,TRUE,-NaCtpzaZ8GsV7T5D24n
a5-happiness,gpt,abstract,20.199,5,4,1,3,1,TRUE,-NaCvPgUoV5zUncugJH-
h10-pleasure,human,abstract,5.61,5,4,1,5,1,TRUE,-NaCvPgUoV5zUncugJH-
a39-gratitude,gpt,emotion,,5,4,2,1,0,FALSE,-NaCvPgUoV5zUncugJH-
h33-shock,human,emotion,,5,4,3,1,0,FALSE,-NaCvPgUoV5zUncugJH-
a24-array,gpt,IT,,5,4,1,1,0,FALSE,-NaCvPgUoV5zUncugJH-
h26-firewall,human,IT,,5,4,2,1,0,FALSE,-NaCvPgUoV5zUncugJH-
a16-chair,gpt,simple,8.78,5,4,1,3,1,TRUE,-NaCvPgUoV5zUncugJH-
h20-tv,human,simple,7.717,5,4,1,5,1,TRUE,-NaCvPgUoV5zUncugJH-
a9-empathy,gpt,abstract,,8,0,1,1,0,FALSE,-NaCvSd1oPkhvz03xj78
h6-freedom,human,abstract,,8,0,4,1,0,FALSE,-NaCvSd1oPkhvz03xj78
a39-gratitude,gpt,emotion,,8,0,2,4,0,FALSE,-NaCvSd1oPkhvz03xj78
h38-joy,human,emotion,,8,0,2,1,0,FALSE,-NaCvSd1oPkhvz03xj78
a22-download,gpt,IT,,8,0,1,5,0,FALSE,-NaCvSd1oPkhvz03xj78
h24-array,human,IT,,8,0,4,5,0,FALSE,-NaCvSd1oPkhvz03xj78
a16-chair,gpt,simple,,8,0,4,1,0,FALSE,-NaCvSd1oPkhvz03xj78
h17-lamp,human,simple,,8,0,3,1,0,FALSE,-NaCvSd1oPkhvz03xj78
a7-reason,gpt,abstract,,5,4,1,1,0,FALSE,-NaCxJ0HKNwQ46levo2z
h10-pleasure,human,abstract,4.51,5,4,1,4,1,TRUE,-NaCxJ0HKNwQ46levo2z
a31-sad,gpt,emotion,13.075,5,4,2,3,1,TRUE,-NaCxJ0HKNwQ46levo2z
h35-fear,human,emotion,,5,4,2,2,0,FALSE,-NaCxJ0HKNwQ46levo2z
a30-compiler,gpt,IT,,5,4,1,2,0,FALSE,-NaCxJ0HKNwQ46levo2z
h21-server,human,IT,13.622,5,4,1,3,1,TRUE,-NaCxJ0HKNwQ46levo2z
a17-lamp,gpt,simple,15.967,5,4,3,3,1,TRUE,-NaCxJ0HKNwQ46levo2z
h15-container,human,simple,,5,4,2,1,0,FALSE,-NaCxJ0HKNwQ46levo2z
a2-truth,gpt,abstract,,1,3,0,1,0,FALSE,-NaCxK-hTj0rLRp2leGM
h1-love,human,abstract,4.388,1,3,2,5,1,TRUE,-NaCxK-hTj0rLRp2leGM
h6-freedom,human,abstract,3.184,1,3,1,5,1,TRUE,-NaCxK-hTj0rLRp2leGM
a38-joy,gpt,emotion,,1,3,0,1,0,FALSE,-NaCxK-hTj0rLRp2leGM
a21-server,gpt,IT,,1,3,0,1,0,FALSE,-NaCxK-hTj0rLRp2leGM
h29-cache,human,IT,,1,3,1,1,0,FALSE,-NaCxK-hTj0rLRp2leGM
a14-portrait,gpt,simple,,1,3,3,1,0,FALSE,-NaCxK-hTj0rLRp2leGM
h18-pencil,human,simple,6.322,1,3,1,4,1,TRUE,-NaCxK-hTj0rLRp2leGM
a4-imagination,gpt,abstract,,3,2,2,3,0,FALSE,-NaD044LE9ZPhE8gmmaH
h5-happiness,human,abstract,,3,2,2,5,0,FALSE,-NaD044LE9ZPhE8gmmaH
a38-joy,gpt,emotion,,3,2,0,1,0,FALSE,-NaD044LE9ZPhE8gmmaH
h36-angry,human,emotion,8.923,3,2,1,5,1,TRUE,-NaD044LE9ZPhE8gmmaH
a21-server,gpt,IT,,3,2,3,1,0,FALSE,-NaD044LE9ZPhE8gmmaH
h27-framework,human,IT,,3,2,4,4,0,FALSE,-NaD044LE9ZPhE8gmmaH
a19-spoon,gpt,simple,,3,2,1,3,0,FALSE,-NaD044LE9ZPhE8gmmaH
h18-pencil,human,simple,17.04,3,2,2,5,1,TRUE,-NaD044LE9ZPhE8gmmaH
a1-love,gpt,abstract,6.003,5,4,1,3,1,TRUE,-NaD0nPv5W0l3v6IpuD6
a5-happiness,gpt,abstract,5.443,5,4,1,3,1,TRUE,-NaD0nPv5W0l3v6IpuD6
h4-imagination,human,abstract,,5,4,1,1,0,FALSE,-NaD0nPv5W0l3v6IpuD6
h34-relaxed,human,emotion,,5,4,1,1,0,FALSE,-NaD0nPv5W0l3v6IpuD6
a22-download,gpt,IT,17.777,5,4,3,3,1,TRUE,-NaD0nPv5W0l3v6IpuD6
h21-server,human,IT,,5,4,1,3,0,FALSE,-NaD0nPv5W0l3v6IpuD6
a16-chair,gpt,simple,5.916,5,4,1,2,1,TRUE,-NaD0nPv5W0l3v6IpuD6
h14-portrait,human,simple,,5,4,3,2,0,FALSE,-NaD0nPv5W0l3v6IpuD6
a9-empathy,gpt,abstract,7.414,6,4,1,5,1,TRUE,-NaDAwJvNaJJ4uBYCKNT
h3-prejudice,human,abstract,,6,4,2,2,0,FALSE,-NaDAwJvNaJJ4uBYCKNT
a35-fear,gpt,emotion,,6,4,0,2,0,FALSE,-NaDAwJvNaJJ4uBYCKNT
h32-excited,human,emotion,8.888,6,4,1,5,1,TRUE,-NaDAwJvNaJJ4uBYCKNT
a21-server,gpt,IT,,6,4,2,1,0,FALSE,-NaDAwJvNaJJ4uBYCKNT
h29-cache,human,IT,,6,4,2,1,0,FALSE,-NaDAwJvNaJJ4uBYCKNT
a12-desk,gpt,simple,12.42,6,4,1,5,1,TRUE,-NaDAwJvNaJJ4uBYCKNT
h14-portrait,human,simple,6.514,6,4,1,4,1,TRUE,-NaDAwJvNaJJ4uBYCKNT
a7-reason,gpt,abstract,,4,4,2,1,0,FALSE,-NaDdO5-mfVZFia3hcAh
h10-pleasure,human,abstract,16.994,4,4,3,4,1,TRUE,-NaDdO5-mfVZFia3hcAh
h1-love,human,abstract,,4,4,5,5,0,FALSE,-NaDdO5-mfVZFia3hcAh
a33-shock,gpt,emotion,16.874,4,4,3,1,1,TRUE,-NaDdO5-mfVZFia3hcAh
a21-server,gpt,IT,,4,4,2,3,0,FALSE,-NaDdO5-mfVZFia3hcAh
h24-array,human,IT,9.017,4,4,1,5,1,TRUE,-NaDdO5-mfVZFia3hcAh
a11-bag,gpt,simple,3.513,4,4,1,5,1,TRUE,-NaDdO5-mfVZFia3hcAh
h15-container,human,simple,,4,4,6,4,0,FALSE,-NaDdO5-mfVZFia3hcAh
a7-reason,gpt,abstract,,7,0,1,5,0,FALSE,-NaDfS1wz-9k5goNSD2i
h4-imagination,human,abstract,,7,0,2,5,0,FALSE,-NaDfS1wz-9k5goNSD2i
a40-satisfied,gpt,emotion,,7,0,0,5,0,FALSE,-NaDfS1wz-9k5goNSD2i
h32-excited,human,emotion,,7,0,1,5,0,FALSE,-NaDfS1wz-9k5goNSD2i
a23-hardware,gpt,IT,,7,0,0,5,0,FALSE,-NaDfS1wz-9k5goNSD2i
h26-firewall,human,IT,,7,0,1,5,0,FALSE,-NaDfS1wz-9k5goNSD2i
a12-desk,gpt,simple,,7,0,1,5,0,FALSE,-NaDfS1wz-9k5goNSD2i
h16-chair,human,simple,,7,0,2,5,0,FALSE,-NaDfS1wz-9k5goNSD2i
a1-love,gpt,abstract,6.44,2,5,1,4,1,TRUE,-NaDgLQKCcqyN8GG_UJT
a2-truth,gpt,abstract,,2,5,0,1,0,FALSE,-NaDgLQKCcqyN8GG_UJT
h5-happiness,human,abstract,22.536,2,5,5,3,1,TRUE,-NaDgLQKCcqyN8GG_UJT
h33-shock,human,emotion,15.177,2,5,4,2,1,TRUE,-NaDgLQKCcqyN8GG_UJT
a27-framework,gpt,IT,,2,5,3,1,0,FALSE,-NaDgLQKCcqyN8GG_UJT
h22-download,human,IT,6.541,2,5,1,5,1,TRUE,-NaDgLQKCcqyN8GG_UJT
a14-portrait,gpt,simple,,2,5,7,2,0,FALSE,-NaDgLQKCcqyN8GG_UJT
h13-nature,human,simple,17.628,2,5,3,4,1,TRUE,-NaDgLQKCcqyN8GG_UJT
a3-prejudice,gpt,abstract,,2,4,0,1,0,FALSE,-NaD-hfzY56LyZNAJl7c
h2-truth,human,abstract,6.123,2,4,1,5,1,TRUE,-NaD-hfzY56LyZNAJl7c
a31-sad,gpt,emotion,16.754,2,4,2,3,1,TRUE,-NaD-hfzY56LyZNAJl7c
h38-joy,human,emotion,3.715,2,4,1,5,1,TRUE,-NaD-hfzY56LyZNAJl7c
a23-hardware,gpt,IT,,2,4,0,1,0,FALSE,-NaD-hfzY56LyZNAJl7c
h26-firewall,human,IT,,2,4,1,1,0,FALSE,-NaD-hfzY56LyZNAJl7c
a17-lamp,gpt,simple,18.28,2,4,1,3,1,TRUE,-NaD-hfzY56LyZNAJl7c
h12-desk,human,simple,,2,4,0,1,0,FALSE,-NaD-hfzY56LyZNAJl7c
a9-empathy,gpt,abstract,,7,4,1,3,0,FALSE,-NaDiJkvqRka9IWn_QX_
h3-prejudice,human,abstract,,7,4,1,5,0,FALSE,-NaDiJkvqRka9IWn_QX_
a36-angry,gpt,emotion,,7,4,0,3,0,FALSE,-NaDiJkvqRka9IWn_QX_
h32-excited,human,emotion,22.912,7,4,2,5,1,TRUE,-NaDiJkvqRka9IWn_QX_
a25-decryption,gpt,IT,,7,4,1,2,0,FALSE,-NaDiJkvqRka9IWn_QX_
h26-firewall,human,IT,9.743,7,4,1,5,1,TRUE,-NaDiJkvqRka9IWn_QX_
a11-bag,gpt,simple,17.06,7,4,1,5,1,TRUE,-NaDiJkvqRka9IWn_QX_
h19-spoon,human,simple,17.714,7,4,1,5,1,TRUE,-NaDiJkvqRka9IWn_QX_
a6-freedom,gpt,abstract,,6,2,0,1,0,FALSE,-NaDkK9yUyigM1HHX2IK
h2-truth,human,abstract,,6,2,1,1,0,FALSE,-NaDkK9yUyigM1HHX2IK
a39-gratitude,gpt,emotion,,6,2,1,1,0,FALSE,-NaDkK9yUyigM1HHX2IK
h34-relaxed,human,emotion,,6,2,4,1,0,FALSE,-NaDkK9yUyigM1HHX2IK
a26-firewall,gpt,IT,11.016,6,2,1,3,1,TRUE,-NaDkK9yUyigM1HHX2IK
h29-cache,human,IT,12.15,6,2,1,3,1,TRUE,-NaDkK9yUyigM1HHX2IK
a14-portrait,gpt,simple,,6,2,2,1,0,FALSE,-NaDkK9yUyigM1HHX2IK
h12-desk,human,simple,,6,2,1,1,0,FALSE,-NaDkK9yUyigM1HHX2IK
a6-freedom,gpt,abstract,,7,6,0,1,0,FALSE,-NaDmD0l_ByneVwvUJ0-
h10-pleasure,human,abstract,3.674,7,6,1,5,1,TRUE,-NaDmD0l_ByneVwvUJ0-
a33-shock,gpt,emotion,,7,6,1,1,0,FALSE,-NaDmD0l_ByneVwvUJ0-
h36-angry,human,emotion,10.453,7,6,2,4,1,TRUE,-NaDmD0l_ByneVwvUJ0-
a22-download,gpt,IT,25.476,7,6,1,2,1,TRUE,-NaDmD0l_ByneVwvUJ0-
h26-firewall,human,IT,12.941,7,6,1,4,1,TRUE,-NaDmD0l_ByneVwvUJ0-
a16-chair,gpt,simple,8.401,7,6,1,3,1,TRUE,-NaDmD0l_ByneVwvUJ0-
h11-bag,human,simple,3.793,7,6,1,5,1,TRUE,-NaDmD0l_ByneVwvUJ0-
a2-truth,gpt,abstract,,6,2,0,1,0,FALSE,-NaDo_BMuwg3l8Q0TY1K
h5-happiness,human,abstract,,6,2,3,3,0,FALSE,-NaDo_BMuwg3l8Q0TY1K
a32-excited,gpt,emotion,,6,2,1,2,0,FALSE,-NaDo_BMuwg3l8Q0TY1K
h34-relaxed,human,emotion,,6,2,4,2,0,FALSE,-NaDo_BMuwg3l8Q0TY1K
a27-framework,gpt,IT,,6,2,2,3,0,FALSE,-NaDo_BMuwg3l8Q0TY1K
h24-array,human,IT,27.059,6,2,2,5,1,TRUE,-NaDo_BMuwg3l8Q0TY1K
a17-lamp,gpt,simple,,6,2,1,2,0,FALSE,-NaDo_BMuwg3l8Q0TY1K
h12-desk,human,simple,7.013,6,2,1,5,1,TRUE,-NaDo_BMuwg3l8Q0TY1K
a2-truth,gpt,abstract,,6,1,0,1,0,FALSE,-NaDO_HU22llZRGqX1ri
h9-empathy,human,abstract,,6,1,0,3,0,FALSE,-NaDO_HU22llZRGqX1ri
a33-shock,gpt,emotion,,6,1,0,2,0,FALSE,-NaDO_HU22llZRGqX1ri
h38-joy,human,emotion,,6,1,1,3,0,FALSE,-NaDO_HU22llZRGqX1ri
a21-server,gpt,IT,,6,1,1,2,0,FALSE,-NaDO_HU22llZRGqX1ri
h22-download,human,IT,,6,1,2,5,0,FALSE,-NaDO_HU22llZRGqX1ri
a15-container,gpt,simple,,6,1,1,3,0,FALSE,-NaDO_HU22llZRGqX1ri
h17-lamp,human,simple,14.08,6,1,1,5,1,TRUE,-NaDO_HU22llZRGqX1ri
a4-imagination,gpt,abstract,30.696,6,3,2,4,1,TRUE,-NaDqNWt-Vqzvinl3IsK
h5-happiness,human,abstract,,6,3,4,3,0,FALSE,-NaDqNWt-Vqzvinl3IsK
a36-angry,gpt,emotion,17.868,6,3,1,5,1,TRUE,-NaDqNWt-Vqzvinl3IsK
h33-shock,human,emotion,,6,3,1,5,0,FALSE,-NaDqNWt-Vqzvinl3IsK
a25-decryption,gpt,IT,,6,3,3,4,0,FALSE,-NaDqNWt-Vqzvinl3IsK
h22-download,human,IT,7.546,6,3,1,5,1,TRUE,-NaDqNWt-Vqzvinl3IsK
a20-tv,gpt,simple,,6,3,5,4,0,FALSE,-NaDqNWt-Vqzvinl3IsK
h13-nature,human,simple,,6,3,4,3,0,FALSE,-NaDqNWt-Vqzvinl3IsK
a5-happiness,gpt,abstract,,3,3,2,4,0,FALSE,-NaDWvHHjr4zV45RBfwe
h9-empathy,human,abstract,5.728,3,3,1,5,1,TRUE,-NaDWvHHjr4zV45RBfwe
